Date,Factor_Conservative,Factor_Moderate,Factor_Ambitious,ARIMA_Forecast,ARIMA_Lower_CI,ARIMA_Upper_CI
2025-01-01,128.97,136.01,143.05,99.11226455317801,74.04534140259945,124.17918770375657
2025-02-01,107.1,112.98,118.86,99.09619011752201,69.6730456115134,128.51933462353063
2025-03-01,112.1,118.26,124.42,99.09231054425388,66.89468766065153,131.28993342785623
2025-04-01,89.58,94.49,99.4,99.09137420726108,64.54786542808628,133.63488298643588
2025-05-01,81.31,85.76,90.21,99.09114822184891,62.39726755665143,135.7850288870464
2025-06-01,73.77,77.83,81.89,99.09109368015409,60.37652961746808,137.80565774284008
2025-07-01,78.1,82.4,86.7,99.09108051648815,58.45859571058427,139.72356532239203
2025-08-01,88.31,93.17,98.03,99.09107733943064,56.62776294230746,141.5543917365538
2025-09-01,107.67,113.58,119.49,99.09107657264619,54.872800368448125,143.30935277684426
2025-10-01,130.67,137.9,145.13,99.09107638758236,53.18491026651076,144.99724250865395
2025-11-01,99.28,104.73,110.18,99.09107634291712,51.556924796069566,146.6252278897647
2025-12-01,112.2,118.37,124.54,99.09107633213713,49.98288069415031,148.19927197012396
